county_name,contest_name,imprinted_id,ballot_type,counted,choice_per_voting_computer,choice_per_audit_board,consensus,record_type,audit_board_comment,timestamp,cvr_id
Adams,Assessor,1-1-18,std,1,"[""NATHANIEL FERNANDEZ EPSTEIN""]",[],YES,UPLOADED,"",2018-06-29 10:08:22.854,42781
Adams,Assessor,1-1-15,std,2,"[""RICHARD B. RAMIREZ""]",[],YES,UPLOADED,"",2018-06-29 10:07:07.665,42778
Adams,Assessor,1-1-12,std,1,"[""NATHANIEL FERNANDEZ EPSTEIN""]",[],YES,UPLOADED,"",2018-06-29 10:05:36.514,42775
Adams,Assessor,1-1-10,std,1,"[""NATHANIEL FERNANDEZ EPSTEIN""]","[""NATHANIEL FERNANDEZ EPSTEIN""]",YES,UPLOADED,"",2018-06-29 10:04:23.824,42773
Adams,Assessor,1-1-8,std,3,"[""NATHANIEL FERNANDEZ EPSTEIN""]","[""CLAUDE PARRISH""]",YES,UPLOADED,"",2018-06-29 10:03:09.935,42771
Adams,Assessor,1-1-2,std,2,"[""NATHANIEL FERNANDEZ EPSTEIN""]","[""RICHARD B. RAMIREZ""]",YES,UPLOADED,"",2018-06-29 10:02:00.311,42765
Adams,Assessor,1-1-6,std,2,"[""NATHANIEL FERNANDEZ EPSTEIN""]",[],YES,UPLOADED,"",2018-06-29 10:02:33.201,42769
Adams,Auditor-Controller,1-1-10,std,1,"[""ERIC H. WOOLERY""]","[""TONI SMART""]",YES,UPLOADED,"",2018-06-29 10:04:23.824,42773
Adams,Auditor-Controller,1-1-56,std,1,"[""ERIC H. WOOLERY""]",[],YES,UPLOADED,"",2018-07-02 16:59:20.464,42819
Adams,Auditor-Controller,1-1-20,std,1,"[""ERIC H. WOOLERY""]",[],YES,UPLOADED,"",2018-06-29 10:09:38.59,42783
Adams,Auditor-Controller,1-1-54,std,2,"[""ERIC H. WOOLERY""]",[],YES,UPLOADED,"",2018-07-02 16:59:01.077,42817
Adams,Auditor-Controller,1-1-38,std,1,"[""ERIC H. WOOLERY""]",[],YES,UPLOADED,"",2018-07-02 16:54:28.06,42801
Adams,Auditor-Controller,1-1-13,std,1,"[""TONI SMART""]","[""ERIC H. WOOLERY""]",YES,UPLOADED,"",2018-06-29 10:06:24.218,42776
Adams,Auditor-Controller,1-1-57,std,1,"[""TONI SMART""]",[],YES,UPLOADED,"",2018-07-02 16:59:39.156,42820
Adams,Auditor-Controller,1-1-9,std,2,"[""TONI SMART""]",[],YES,UPLOADED,"",2018-06-29 10:03:44.767,42772
Adams,Auditor-Controller,1-1-50,std,2,"[""ERIC H. WOOLERY""]",[],YES,UPLOADED,"",2018-07-02 16:57:58.117,42813
Adams,Auditor-Controller,1-1-46,std,1,"[""ERIC H. WOOLERY""]","[""ERIC H. WOOLERY""]",YES,UPLOADED,"",2018-07-02 16:57:14.58,42809
Adams,Auditor-Controller,1-1-12,std,1,"[""ERIC H. WOOLERY""]",[],YES,UPLOADED,"",2018-06-29 10:05:36.514,42775
Adams,Auditor-Controller,1-1-60,std,1,"[""ERIC H. WOOLERY""]","[""ERIC H. WOOLERY""]",YES,UPLOADED,"",2018-07-02 17:00:58.017,42823
Adams,Auditor-Controller,1-1-23,std,2,"[""TONI SMART""]","[""ERIC H. WOOLERY""]",YES,UPLOADED,"",2018-06-29 10:11:06.212,42786
Adams,Auditor-Controller,1-1-58,std,2,"[""ERIC H. WOOLERY""]","[""TONI SMART""]",YES,UPLOADED,"",2018-07-02 17:00:13.895,42821
Adams,Auditor-Controller,1-1-2,std,2,"[""ERIC H. WOOLERY""]","[""ERIC H. WOOLERY""]",YES,UPLOADED,"",2018-06-29 10:02:00.311,42765
Adams,Auditor-Controller,1-1-33,std,1,"[""TONI SMART""]","[""TONI SMART""]",YES,UPLOADED,"",2018-06-29 10:13:29.142,42796
Adams,Auditor-Controller,1-1-66,std,1,"[""ERIC H. WOOLERY""]","[""ERIC H. WOOLERY""]",YES,UPLOADED,"",2018-07-02 17:05:21.664,42829
Adams,Auditor-Controller,1-1-31,std,1,"[""TONI SMART""]",[],YES,UPLOADED,"",2018-06-29 10:12:41.45,42794
Adams,Auditor-Controller,1-1-63,std,4,"[""TONI SMART""]","[""ERIC H. WOOLERY""]",YES,UPLOADED,"",2018-07-02 17:04:28.167,42826
Adams,Auditor-Controller,1-1-67,std,1,"[""TONI SMART""]","[""TONI SMART""]",YES,UPLOADED,"",2018-07-02 17:05:54.133,42830
Adams,Auditor-Controller,1-1-40,std,1,"[""ERIC H. WOOLERY""]",[],YES,UPLOADED,"",2018-07-02 16:55:35.348,42803
Adams,Auditor-Controller,1-1-17,std,2,"[""TONI SMART""]",[],YES,UPLOADED,"",2018-06-29 10:07:45.336,42780
Adams,Auditor-Controller,1-1-36,std,2,"[""ERIC H. WOOLERY""]",[],YES,UPLOADED,"",2018-07-02 16:54:03.095,42799
Adams,Auditor-Controller,1-1-41,std,2,"[""TONI SMART""]","[""ERIC H. WOOLERY""]",YES,UPLOADED,"",2018-07-02 16:56:04.659,42804
Adams,Auditor-Controller,1-1-52,std,1,"[""ERIC H. WOOLERY""]",[],YES,UPLOADED,"",2018-07-02 16:58:40.266,42815
Adams,Auditor-Controller,1-1-6,std,2,"[""ERIC H. WOOLERY""]",[],YES,UPLOADED,"",2018-06-29 10:02:33.201,42769
Adams,Auditor-Controller,1-1-19,std,2,"[""TONI SMART""]",[],YES,UPLOADED,"",2018-06-29 10:09:00.505,42782
Adams,Auditor-Controller,1-1-11,std,1,"[""TONI SMART""]",[],YES,UPLOADED,"",2018-06-29 10:04:59.325,42774
Adams,Auditor-Controller,1-1-15,std,2,"[""TONI SMART""]",[],YES,UPLOADED,"",2018-06-29 10:07:07.665,42778
Adams,Auditor-Controller,1-1-45,std,1,"[""TONI SMART""]",[],YES,UPLOADED,"",2018-07-02 16:56:47.553,42808
Adams,Auditor-Controller,1-1-34,std,1,"[""ERIC H. WOOLERY""]",[],YES,UPLOADED,"",2018-06-29 10:14:07.513,42797
Adams,Auditor-Controller,1-1-21,std,1,"[""TONI SMART""]",[],YES,UPLOADED,"",2018-06-29 10:10:19.851,42784
Adams,Auditor-Controller,1-1-1,std,2,"[""ERIC H. WOOLERY""]",[],YES,UPLOADED,"",2018-06-29 10:01:20.852,42764
Adams,Auditor-Controller,1-1-49,std,1,"[""TONI SMART""]",[],YES,UPLOADED,"",2018-07-02 16:57:35.886,42812
Adams,Auditor-Controller,1-1-51,std,2,"[""TONI SMART""]",[],YES,UPLOADED,"",2018-07-02 16:58:20.437,42814
Adams,Auditor-Controller,1-1-8,std,3,"[""ERIC H. WOOLERY""]","[""TONI SMART""]",YES,UPLOADED,"",2018-06-29 10:03:09.935,42771
Adams,Auditor-Controller,1-1-28,std,2,"[""ERIC H. WOOLERY""]","[""TONI SMART""]",YES,UPLOADED,"",2018-06-29 10:11:53.376,42791
Adams,Auditor-Controller,1-1-39,std,3,"[""TONI SMART""]",[],YES,UPLOADED,"",2018-07-02 16:54:55.93,42802
Adams,Auditor-Controller,1-1-44,std,1,"[""ERIC H. WOOLERY""]",[],YES,UPLOADED,"",2018-07-02 16:56:25.028,42807
Adams,Auditor-Controller,1-1-18,std,1,"[""ERIC H. WOOLERY""]",[],YES,UPLOADED,"",2018-06-29 10:08:22.854,42781
Adams,Clerk-Recorder,1-1-15,std,2,"[""HUGH NGUYEN""]","[""HUGH NGUYEN""]",YES,UPLOADED,"",2018-06-29 10:07:07.665,42778
Adams,Clerk-Recorder,1-1-6,std,2,"[""STEVE ROCCO""]",[],YES,UPLOADED,"",2018-06-29 10:02:33.201,42769
Adams,Clerk-Recorder,1-1-50,std,2,"[""STEVE ROCCO""]",[],YES,UPLOADED,"",2018-07-02 16:57:58.117,42813
Adams,Clerk-Recorder,1-1-9,std,2,"[""HUGH NGUYEN""]",[],YES,UPLOADED,"",2018-06-29 10:03:44.767,42772
Adams,Clerk-Recorder,1-1-20,std,1,"[""STEVE ROCCO""]",[],YES,UPLOADED,"",2018-06-29 10:09:38.59,42783
Adams,Clerk-Recorder,1-1-11,std,1,"[""HUGH NGUYEN""]",[],YES,UPLOADED,"",2018-06-29 10:04:59.325,42774
Adams,Clerk-Recorder,1-1-13,std,1,"[""HUGH NGUYEN""]","[""HUGH NGUYEN""]",YES,UPLOADED,"",2018-06-29 10:06:24.218,42776
Adams,Clerk-Recorder,1-1-33,std,1,"[""HUGH NGUYEN""]","[""HUGH NGUYEN""]",YES,UPLOADED,"",2018-06-29 10:13:29.142,42796
Adams,Clerk-Recorder,1-1-2,std,2,"[""STEVE ROCCO""]","[""STEVE ROCCO""]",YES,UPLOADED,"",2018-06-29 10:02:00.311,42765
Adams,Clerk-Recorder,1-1-17,std,2,"[""HUGH NGUYEN""]",[],YES,UPLOADED,"",2018-06-29 10:07:45.336,42780
Adams,Clerk-Recorder,1-1-52,std,1,"[""STEVE ROCCO""]",[],YES,UPLOADED,"",2018-07-02 16:58:40.266,42815
Adams,Clerk-Recorder,1-1-19,std,2,"[""HUGH NGUYEN""]",[],YES,UPLOADED,"",2018-06-29 10:09:00.505,42782
Adams,Clerk-Recorder,1-1-21,std,1,"[""HUGH NGUYEN""]",[],YES,UPLOADED,"",2018-06-29 10:10:19.851,42784
Adams,Clerk-Recorder,1-1-18,std,1,"[""STEVE ROCCO""]",[],YES,UPLOADED,"",2018-06-29 10:08:22.854,42781
Adams,Clerk-Recorder,1-1-28,std,2,"[""STEVE ROCCO""]","[""STEVE ROCCO""]",YES,UPLOADED,"",2018-06-29 10:11:53.376,42791
Adams,Clerk-Recorder,1-1-56,std,1,"[""STEVE ROCCO""]",[],YES,UPLOADED,"",2018-07-02 16:59:20.464,42819
Adams,Clerk-Recorder,1-1-12,std,1,"[""STEVE ROCCO""]",[],YES,UPLOADED,"",2018-06-29 10:05:36.514,42775
Adams,Clerk-Recorder,1-1-57,std,1,"[""HUGH NGUYEN""]",[],YES,UPLOADED,"",2018-07-02 16:59:39.156,42820
Adams,Clerk-Recorder,1-1-38,std,1,"[""STEVE ROCCO""]",[],YES,UPLOADED,"",2018-07-02 16:54:28.06,42801
Adams,Clerk-Recorder,1-1-60,std,1,"[""STEVE ROCCO""]",[],YES,UPLOADED,"",2018-07-02 17:00:58.017,42823
Adams,Clerk-Recorder,1-1-66,std,1,"[""STEVE ROCCO""]","[""STEVE ROCCO""]",YES,UPLOADED,"",2018-07-02 17:05:21.664,42829
Adams,Clerk-Recorder,1-1-67,std,1,"[""HUGH NGUYEN""]","[""STEVE ROCCO""]",YES,UPLOADED,"",2018-07-02 17:05:54.133,42830
Adams,Clerk-Recorder,1-1-40,std,1,"[""STEVE ROCCO""]","[""HUGH NGUYEN""]",YES,UPLOADED,"",2018-07-02 16:55:35.348,42803
Adams,Clerk-Recorder,1-1-63,std,4,"[""HUGH NGUYEN""]","[""HUGH NGUYEN""]",YES,UPLOADED,"",2018-07-02 17:04:28.167,42826
Adams,Clerk-Recorder,1-1-58,std,2,"[""STEVE ROCCO""]","[""STEVE ROCCO""]",YES,UPLOADED,"",2018-07-02 17:00:13.895,42821
Adams,Clerk-Recorder,1-1-10,std,1,"[""STEVE ROCCO""]",[],YES,UPLOADED,"",2018-06-29 10:04:23.824,42773
Adams,Clerk-Recorder,1-1-54,std,2,"[""STEVE ROCCO""]",[],YES,UPLOADED,"",2018-07-02 16:59:01.077,42817
Adams,Clerk-Recorder,1-1-51,std,2,"[""HUGH NGUYEN""]",[],YES,UPLOADED,"",2018-07-02 16:58:20.437,42814
Adams,Clerk-Recorder,1-1-44,std,1,"[""STEVE ROCCO""]",[],YES,UPLOADED,"",2018-07-02 16:56:25.028,42807
Adams,Clerk-Recorder,1-1-49,std,1,"[""HUGH NGUYEN""]",[],YES,UPLOADED,"",2018-07-02 16:57:35.886,42812
Adams,Clerk-Recorder,1-1-45,std,1,"[""HUGH NGUYEN""]",[],YES,UPLOADED,"",2018-07-02 16:56:47.553,42808
Adams,Clerk-Recorder,1-1-41,std,2,"[""HUGH NGUYEN""]","[""HUGH NGUYEN""]",YES,UPLOADED,"",2018-07-02 16:56:04.659,42804
Adams,Clerk-Recorder,1-1-8,std,3,"[""STEVE ROCCO""]",[],YES,UPLOADED,"",2018-06-29 10:03:09.935,42771
Adams,Clerk-Recorder,1-1-39,std,3,"[""HUGH NGUYEN""]",[],YES,UPLOADED,"",2018-07-02 16:54:55.93,42802
Adams,Clerk-Recorder,1-1-46,std,1,"[""STEVE ROCCO""]",[],YES,UPLOADED,"",2018-07-02 16:57:14.58,42809
Adams,Clerk-Recorder,1-1-36,std,2,"[""STEVE ROCCO""]",[],YES,UPLOADED,"",2018-07-02 16:54:03.095,42799
Adams,Clerk-Recorder,1-1-1,std,2,"[""STEVE ROCCO""]",[],YES,UPLOADED,"",2018-06-29 10:01:20.852,42764
Adams,Clerk-Recorder,1-1-31,std,1,"[""HUGH NGUYEN""]","[""STEVE ROCCO""]",YES,UPLOADED,"",2018-06-29 10:12:41.45,42794
Adams,Clerk-Recorder,1-1-34,std,1,"[""STEVE ROCCO""]",[],YES,UPLOADED,"",2018-06-29 10:14:07.513,42797
Adams,Clerk-Recorder,1-1-23,std,2,"[""HUGH NGUYEN""]","[""HUGH NGUYEN""]",YES,UPLOADED,"",2018-06-29 10:11:06.212,42786
Adams,District Attorney-Public Administrator,1-1-28,std,2,"[""BRETT MURDOCK""]","[""BRETT MURDOCK""]",YES,UPLOADED,"",2018-06-29 10:11:53.376,42791
Adams,District Attorney-Public Administrator,1-1-51,std,2,"[""TONY RACKAUCKAS""]",[],YES,UPLOADED,"",2018-07-02 16:58:20.437,42814
Adams,District Attorney-Public Administrator,1-1-20,std,1,"[""BRETT MURDOCK""]",[],YES,UPLOADED,"",2018-06-29 10:09:38.59,42783
Adams,District Attorney-Public Administrator,1-1-33,std,1,"[""TONY RACKAUCKAS""]","[""LENORE ALBERT-SHERIDAN""]",YES,UPLOADED,"",2018-06-29 10:13:29.142,42796
Adams,District Attorney-Public Administrator,1-1-1,std,2,"[""BRETT MURDOCK""]",[],YES,UPLOADED,"",2018-06-29 10:01:20.852,42764
Adams,District Attorney-Public Administrator,1-1-50,std,2,"[""BRETT MURDOCK""]",[],YES,UPLOADED,"",2018-07-02 16:57:58.117,42813
Adams,District Attorney-Public Administrator,1-1-49,std,1,"[""TONY RACKAUCKAS""]",[],YES,UPLOADED,"",2018-07-02 16:57:35.886,42812
Adams,District Attorney-Public Administrator,1-1-23,std,2,"[""TONY RACKAUCKAS""]","[""TONY RACKAUCKAS""]",YES,UPLOADED,"",2018-06-29 10:11:06.212,42786
Adams,District Attorney-Public Administrator,1-1-21,std,1,"[""TONY RACKAUCKAS""]",[],YES,UPLOADED,"",2018-06-29 10:10:19.851,42784
Adams,District Attorney-Public Administrator,1-1-44,std,1,"[""BRETT MURDOCK""]",[],YES,UPLOADED,"",2018-07-02 16:56:25.028,42807
Adams,District Attorney-Public Administrator,1-1-18,std,1,"[""BRETT MURDOCK""]",[],YES,UPLOADED,"",2018-06-29 10:08:22.854,42781
Adams,District Attorney-Public Administrator,1-1-45,std,1,"[""TONY RACKAUCKAS""]",[],YES,UPLOADED,"",2018-07-02 16:56:47.553,42808
Adams,District Attorney-Public Administrator,1-1-46,std,1,"[""BRETT MURDOCK""]",[],YES,UPLOADED,"",2018-07-02 16:57:14.58,42809
Adams,District Attorney-Public Administrator,1-1-52,std,1,"[""BRETT MURDOCK""]",[],YES,UPLOADED,"",2018-07-02 16:58:40.266,42815
Adams,District Attorney-Public Administrator,1-1-8,std,3,"[""BRETT MURDOCK""]",[],YES,UPLOADED,"",2018-06-29 10:03:09.935,42771
Adams,District Attorney-Public Administrator,1-1-19,std,2,"[""TONY RACKAUCKAS""]",[],YES,UPLOADED,"",2018-06-29 10:09:00.505,42782
Adams,District Attorney-Public Administrator,1-1-41,std,2,"[""TONY RACKAUCKAS""]","[""TODD SPITZER""]",YES,UPLOADED,"",2018-07-02 16:56:04.659,42804
Adams,District Attorney-Public Administrator,1-1-31,std,1,"[""TONY RACKAUCKAS""]","[""TONY RACKAUCKAS""]",YES,UPLOADED,"",2018-06-29 10:12:41.45,42794
Adams,District Attorney-Public Administrator,1-1-17,std,2,"[""TONY RACKAUCKAS""]",[],YES,UPLOADED,"",2018-06-29 10:07:45.336,42780
Adams,District Attorney-Public Administrator,1-1-2,std,2,"[""BRETT MURDOCK""]",[],YES,UPLOADED,"",2018-06-29 10:02:00.311,42765
Adams,District Attorney-Public Administrator,1-1-13,std,1,"[""TONY RACKAUCKAS""]","[""TODD SPITZER""]",YES,UPLOADED,"",2018-06-29 10:06:24.218,42776
Adams,District Attorney-Public Administrator,1-1-15,std,2,"[""TONY RACKAUCKAS""]","[""TONY RACKAUCKAS""]",YES,UPLOADED,"",2018-06-29 10:07:07.665,42778
Adams,District Attorney-Public Administrator,1-1-39,std,3,"[""TONY RACKAUCKAS""]",[],YES,UPLOADED,"",2018-07-02 16:54:55.93,42802
Adams,District Attorney-Public Administrator,1-1-67,std,1,"[""TONY RACKAUCKAS""]","[""BRETT MURDOCK""]",YES,UPLOADED,"",2018-07-02 17:05:54.133,42830
Adams,District Attorney-Public Administrator,1-1-9,std,2,"[""TONY RACKAUCKAS""]",[],YES,UPLOADED,"",2018-06-29 10:03:44.767,42772
Adams,District Attorney-Public Administrator,1-1-40,std,1,"[""BRETT MURDOCK""]","[""LENORE ALBERT-SHERIDAN""]",YES,UPLOADED,"",2018-07-02 16:55:35.348,42803
Adams,District Attorney-Public Administrator,1-1-63,std,4,"[""TONY RACKAUCKAS""]","[""TONY RACKAUCKAS""]",YES,UPLOADED,"",2018-07-02 17:04:28.167,42826
